headline|link|description|source|type
Pakistan’s iCube-Qamar beams back first images from moon’s orbit|https://www.dawn.com/news/1832658/pakistans-icube-qamar-beams-back-first-images-from-moons-orbit|countrys inaugural lunar satellite part china ’ chang ’ e mission|Nadir Guramani|tech
People with two copies of a risk gene have genetic form of Alzheimer’s, say scientists|https://www.dawn.com/news/1831980/people-with-two-copies-of-a-risk-gene-have-genetic-form-of-alzheimers-say-scientists|study set redefine carriers new genetic form mindwasting disease|Reuters|tech
Paris 2024 gearing up to face unprecedented cybersecurity threat|https://www.dawn.com/news/1831849/paris-2024-gearing-up-to-face-unprecedented-cybersecurity-threat|games organisers deployed ethical hackers ai deter cyber threats|Reuters|tech
Editorial: What exactly is the objective of the new cybercrime agency that FIA could not achieve?|https://www.dawn.com/news/1831581|move likely create redundancies confusion diluting focus actual cybercrime threats procedural chaos transitioning new agency|Unknown|tech
PTA refuses FBR demand to block over 500,000 non-filers’ SIMs|https://www.dawn.com/news/1831436/pta-refuses-fbr-demand-to-block-over-500000-non-filers-sims|says review needed stakeholders action suggests alternative penalties nonfilers|Irfan Sadozai|tech
Google, US clash over search advertising as trial winds down|https://www.dawn.com/news/1831359/google-us-clash-over-search-advertising-as-trial-winds-down|us district judge prepares render major decision coming months whether google ’ conduct broke antitrust law|Reuters|tech
Govt notifies new cybercrime investigation agency to tackle Peca offences|https://www.dawn.com/news/1831222/govt-notifies-new-cybercrime-investigation-agency-to-tackle-peca-offences|fias cybercrime wing stands defunct existing cases personnel assets transferred nccia|Abdullah Momand|tech
Vienna conference urges regulation of AI weapons|https://www.dawn.com/news/1830708/vienna-conference-urges-regulation-of-ai-weapons|conference says “ generation ’ ‘ oppenheimer moment ’ geopolitical tensions threaten lead major scientific breakthrough|AFP|tech
'Why use Netflix Pakistan when you can VPN to the US?'|https://www.dawn.com/news/1232711/why-use-netflix-pakistan-when-you-can-vpn-to-the-us|successfully capture market pakistan netflix need patience deep pockets|Khizr I. Tajammul|tech
452 links of Netflix movie blocked: PTA|https://www.dawn.com/news/1603880/452-links-of-netflix-movie-blocked-pta|ihc hears petition filed blasphemous contents movie|Malik Asad|tech
AI providing new tools to threat actors for attacks, says cybersecurity firm|https://www.dawn.com/news/1827209/ai-providing-new-tools-to-threat-actors-for-attacks-says-cybersecurity-firm|cybersecurity giant kaspersky warns threats corporations individual users says deepfake tools services readily available fraud theft|Dawn.com|tech
Apple unveils iPhone 15 Pro with titanium case, holds line on prices|https://www.dawn.com/news/1775642/apple-unveils-iphone-15-pro-with-titanium-case-holds-line-on-prices|apple says usbc charging cables coming iphone charging case airpods pro devices|Reuters|tech
Artificial intelligence can run world ‘better than humans’|https://www.dawn.com/news/1763612/artificial-intelligence-can-run-world-better-than-humans|humanoid robots tell un summit ’ free biases emotions cloud decisionmaking|AFP|tech
Artificial intelligence’s current ability, future prospects discussed|https://www.dawn.com/news/1397168/artificial-intelligences-current-ability-future-prospects-discussed|‘ realworld application robots people worried losing jobs ’|Shazia Hasan|tech
Censorship and disinformation|https://www.dawn.com/news/1829946/censorship-and-disinformation|enhancing media literacy among populace empower individuals critically analyse question information encounter|Asad Baig|tech
For cellphone bargain hunting online, try PriceOye.pk |https://www.dawn.com/news/1271577/for-cellphone-bargain-hunting-online-try-priceoyepk|new startup brings best deals single website|Munir Rahool|tech
Four Pakistani Americans win prestigious Hult Prize in America|https://www.dawn.com/news/1358709/four-pakistani-americans-win-prestigious-hult-prize-in-america|team rutgers university secured startup capital venture roshni rides|Dawn.com|tech
Freelancers in Pakistan can now receive funds in real time. Here's how|https://www.dawn.com/news/1522974/freelancers-in-pakistan-can-now-receive-funds-in-real-time-heres-how|jazzcash payoneer partnered promote mobile money across pakistan facilitate freelance payments|ADVERTISEMENT|tech
Highest male-female gap on cell-phone ownership registered in Pakistan: report|https://www.dawn.com/news/1538756/highest-male-female-gap-on-cell-phone-ownership-registered-in-pakistan-report|according report gender gap mobile internet usage pakistan even higher|Kalbe Ali|tech
Honor 10 lite review: Does the device mimic flagships at a lighter price tag?|https://www.dawn.com/news/1456678/honor-10-lite-review-does-the-device-mimic-flagships-at-a-lighter-price-tag|terms front cam photography design one takes prominent position budget phone category|Fatima Azeem|tech
